Dish_ID,National Dish
1,Kabuli Pulao
2,Tave Kosi
3,Couscous
4,Palusami
5,Escudella I Carn D'Olla
6,Muamba De Galinha
7,Asado
8,Harissa
9,Meat Pie
10,Wiener Schnitzel
11,Plov
12,Crack Conch With Peas And Rice
13,Chicken Machboos
14,Fish And Rice
15,Cou Cou And Flying Fish
16,Draniki
17,Moules-Frites
18,Belizean Rice And Beans
19,Kuli Kuli
20,Ema Datshi
21,Saltenas
22,Cevapi
23,Seswaa
24,Feijoada
25,Ambuyat
26,Shopska Salad
27,Boko Boko
28,Amok Trey
29,Ndole
30,Poutine
31,Cachupa
32,Pa Amb Tomaquet
33,Pastel De Choclo
34,Peking Duck
35,Bandeja Paisa
36,Langouste A La Vanille
37,Cornish Pasty
38,Gallo Pinto
39,Zagorski Strukli
40,Ropa Vieja
41,Fasolada
42,Svickova
43,Poulet A La Moambe
44,Frikadeller
45,La Bandera
46,Ceviche
47,Kushari
48,Pupusa
49,Chicken Tikka Masala
50,Succotash
51,Zigini With Injera
52,Verivorst
53,Doro Wat With Injera
54,Fiji Kokoda (Fijian Ceviche)
55,Karjalanpiirakat
56,Crepe
57,Poulet Nyembwe
58,Polbo A Feira
59,Khachapuri
60,Sauerbraten
61,Fufu
62,Moussaka
63,Oil Down
64,Kelaguen
65,Pepian
66,Pepperpot
67,Fried Pork With Rice And Beans
68,Plato Tipico De Honduras
69,Dim Sums
70,Goulash
71,Hakarl
72,Khichdi
73,Nasi Goreng
74,Chelo Kebab
75,Masgouf
76,Irish Stew
77,Falafel
78,Ragu Alla Bolognese
79,Aloco
80,Ackee And Saltfish
81,Curry-Rice
82,Mansaf
83,Beshbarmak
84,Ugali
85,Kimchi
86,Flia
87,Machboos
88,Larb
89,Pelekie Zirni Ar Speki
90,Kibbeh
91,Pap-Pap
92,Cuscus Bil-Bosla
93,Kasknopfle
94,Cepelinai
95,Judd Mat Gaardebounen
96,Romazava
97,Chambo With Nshima
98,Nasi Lemak
99,Stuffat Tal-Fenek
100,Dholl Puri
101,Taco
102,Mamaliga
103,Barbagiuan
104,Njeguski Prsut
105,Tagine
106,Mohinga
107,Dal Bhaath
108,Stamppot
109,Pavlova
110,Dambou
111,Jollof Rice
112,Tavce Gravce
113,Ulster Fry
114,Farikal
115,Shuwa
116,Nihari
117,Maqluba
118,Sancocho
119,Chicken Adobo
120,Bigos
121,Bacalhau
122,Arroz Con Gandules
123,Poulet Moambe
124,Sarmale 
125,Pelmeni
126,Torta Tre Monti
127,Kabsa
128,Haggis
129,Thieboudienne
130,Cevapcici
131,Hainanese Chicken Rice
132,Bryndzove Halusky
133,Ajdovi Zganci
134,Bariis Iskukaris
135,Bobotie
136,Paella
137,Rice And Curry
138,Pom
139,Swedish Meatballs
140,Rosti
141,Beef Noodle Soup
142,Pad Thai
143,Domoda
144,Curry Crab And Dumplings
145,Crab And Callaloo
146,Doner Kebab
147,Matoke
148,Borscht
149,Khuzi
150,N/A
151,Hamburger
152,Fish & Fungi
153,Chivito
154,Laplap
155,Pabellon Criollo
156,Pho
157,Cawl
158,Saltah
159,Nshima
160,Sadza
